archivo,conductividad,espesor,bobina,muestras
Exp10.csv,0,0,P20,aire
Exp11.csv,3948000.0,0.14957,P20,B057
Exp12.csv,58180000.0,0.14957,P20,B065
Exp13.csv,34430000.0,0.14957,P20,B064
Exp14.csv,17470000.0,0.14957,P20,B071
Exp15.csv,17470000.0,0.14957,P20,B071
Exp16.csv,34430000.0,0.14957,P20,B064
Exp17.csv,58180000.0,0.14957,P20,B065
Exp18.csv,3948000.0,0.14957,P20,B057
Exp19.csv,0,0,P20,aire
Exp20.csv,0,1.73e-3,P20,ZRY4
Exp21.csv,0,1.73e-3,P20,ZRY4
