archivo,conductividad,espesor,bobina
Exp316Aire1.csv,0,0,m1
Exp316M1.csv,0.6120e6,25e-3,m1
Exp316M2.csv,1.04e6,3.737e-3,m1
Exp316M3.csv,1.06e6,3.818e-3,m1
Exp316M4.csv,1.14e6,3.842e-3,m1
Exp316M5.csv,1.24e6,3.877e-3,m1
Exp316M6.csv,1.26e6,3.899e-3,m1
Exp316M7.csv,1.31e6,4.105e-3,m1
Exp316M8.csv,1.26e6,3.899e-3,m1
Exp316M9.csv,1.26e6,3.899e-3,m1
Exp316patron.csv
