muestra,imag,sigma,dzimag,dzimag/x0
B057,0.542375075,3.948,-0.35277357499999995,-0.3915317869836085
B064,0.2878964666666667,34.43,-0.6072521833333333,-0.6739692237158009
B065,0.23994590000000002,58.18,-0.65520275,-0.7271879804037888
B066,0.7974046416666667,0.6102,-0.0977440083333333,-0.10848285972012137
B068,0.4265614833333333,8.632,-0.46858716666666667,-0.5200694828760516
B071,0.3547717166666667,17.47,-0.5403769333333333,-0.5997465834926051
B095,0.25530790833333333,58.37,-0.6398407416666667,-0.7101381926627227
B125,0.24044938333333332,58.91,-0.6546992666666667,-0.7266291808133817
